nome do ticket,data de criação,data de finalização de implantação
3380 - ENSAQ INDUSTRIA [SANKHYA],31/07/2026,
3367 - EDELTEC [SANKHYA],23/07/2026,
3350 - Integrar EAN do Sankhya no Magis,08/07/2026,
3352 - BIODIS [SANKHYA] [Full Plugar-me],03/07/2026,03/08/2026
3350 - PARAISO DAS BOMBAS [SANKHYA] [Full Plugar-me],29/06/2026,03/08/2026
3349 - TS2 NEGOCIOS [SANKHYA] [Full Plugar-me],29/06/2026,
3348 - BIOCAP [SANKHYA] [Full Plugar-me],26/06/2026,
3343 - BONALLI [SANKHYA],24/06/2026,
3299 - Solicitação de importação de imagens Sankhya,17/06/2026,
3256 - Enviar o campo AD_LOGISTICTYPE na criação do pedido no sankhya,28/05/2026,
3256 - Identificação de pedido FLEX no Sankhya,27/05/2026,
3286 - MA HOSPITALAR [SANKHYA],12/05/2026,
3285 - SUMAY DO BRASIL [SANKHYA],11/05/2026,30/06/2026
3280 - CAFÉ JAGUARI [SANKHYA],05/05/2026,
2775-Venda de aplicativo (integração Sankhya Gateway ERP adicional),02/10/2025,
2775-(Venda de Aplicativo) - integração Sankhya Gateway ERP adicional,02/10/2025,
2775-(Venda de aplicativo) - integração Sankhya Gateway ERP adicional,02/10/2025,
